operator_addr,balance
evmosvaloper1r4egnngxqudu7nsxa6uygcygn36j30v7w3luh6, 5.357142857
evmosvaloper1aw4gm8z8x5wcuk72xxvxgt0ukljul4wex9v9lt, 5.357142857
evmosvaloper1y48avyjalxpnd3kt9pneralmp4fj8j04umtq7n, 5.357142857
evmosvaloper144p4mlj9ju8rencusw2835cjmu9yf2v86mc6h8, 5.357142857
evmosvaloper1zqf4s6t0r4elu07krs5kquf6meme2qm54hzhsf, 5.357142857
evmosvaloper1ny0dzf3wkutdfgxkk6us0xwal7gpuj4hnecw23, 5.357142857
evmosvaloper1fn9ldnvd5mt2fcn5prq2lhvcga6tmtlhugv8x3, 5.357142857
evmosvaloper102jhnxtf9fuaclxwh2r6cg84ml8yzf2unwdl77, 5.357142857
evmosvaloper1tjm6jya5wh65ha55c6279glcsa3mcs9srscytj, 5.357142857
evmosvaloper1862ed57tg9vrjm34r03n0l427ufzj3z8nmqwp7, 5.357142857
evmosvaloper1qx7u07f2tv5j8677r3ttt97prkc2dgcyp2km24, 5.357142857
evmosvaloper1dk4ste222kp256ky00553nexna0rh38hx2ur6c, 5.357142857
evmosvaloper1326mc8893qqaac394x7j42hfr00unvffglz37t, 3.571428571
evmosvaloper1el42w8xtf33ae6mv2h9g2xug6mll4vx7xgc900, 3.571428571
evmosvaloper1q3aejvmwj9dxturgk00jv7hkwxld7ny7642tr8, 3.571428571
evmosvaloper1qq95x6dhrdnrfunlth5uh24tkrfphzl9crd3xr, 3.571428571
evmosvaloper1f86x5htxmxcwnz0nwyszzww9wh3hjkeyhwkjp5, 3.571428571
evmosvaloper1rdq0qewcc0h7rxk5tal2srnhxd3s6zkch3yqth, 3.571428571
evmosvaloper125fkz3mq6qxxpkmphdl3ep92t0d3y969xmt8hz, 1.785714286
evmosvaloper18lgy886ruwkuaefm2c0sn0gt9kgnj0de3kt6pv, 1.785714286
evmosvaloper106y6thy7gphzrsqq443hl69vfdvntgz2u0hvcg, 1.785714286
evmosvaloper1ressdg4tjwqqje0jkvyqmrj908mextrjnfgkf7, 1.785714286
evmosvaloper162fmljm289vplvwwqeth6h3srwt6pxqvhsp2ey, 1.785714286
evmosvaloper1zk0sx2e677293wfmhxngpexu50vps3sdwyef92, 16.07142857
evmosvaloper1tdss4m3x7jy9mlepm2dwy8820l7uv6m2vx6z88, 16.07142857
evmosvaloper1k35wzk4slyz2ly9wycjqjs5ed7mwjl2y7msgdz, 16.07142857
evmosvaloper1h5zzeup9a3qznt3vjfs6lks2duq7te43rux0xm, 16.07142857
evmosvaloper1k35wzk4slyz2ly9wycjqjs5ed7mwjl2y7msgdz, 10.71428571
evmosvaloper1tuup69wz94u62g9tjuphj3vuvqyh3t006h4l0n, 5.357142857
evmosvaloper1sw4hs8x4yrwguhfst82t8lr0pv77x5hj0pryrf, 5.357142857
evmosvaloper1qp49y6vh8vvv5yf8ule8fwx6sss82ncz39tunl, 5.357142857
evmosvaloper1wjcfz5mhkl2e48w4euqz0724933haqcpw3rtkr, 5.357142857
evmosvaloper16cl72dyyaa8n4mx247z49sj26m099jpsd2a570, 5.357142857
evmosvaloper1d4sctjlcqjrfkxpp0a5hwsntfhzy7mz2hppd5z, 5.357142857
